;France métropolitaine;France métropolitaine;France métropolitaine;Ile-de-France;Ile-de-France;Ile-de-France;Centre-Val de Loire;Centre-Val de Loire;Centre-Val de Loire;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Normandie;Normandie;Normandie;Hauts de France;Hauts de France;Hauts de France;Grand Est;Grand Est;Grand Est;Pays-de-la-Loire;Pays-de-la-Loire;Pays-de-la-Loire;Bretagne;Bretagne;Bretagne;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Occitanie;Occitanie;Occitanie;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Corse;Corse;Corse
Cultures;Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t)
Céréales;8895.584;64.5610437718311;57430.8188;357.715;69.0782186936528;2471.0315;1208.335;58.567756458267;7076.947;728.203;52.5365111102261;3825.7245;620.44;72.344126748759;4488.519;1025.1;83.3183884499073;8540.968;1340.396;71.4675066174474;9579.476;647.72;60.2434184524177;3902.0867;554.1;71.6274138242194;3968.875;1174.496;61.2548744312454;7194.3605;679.911;47.6095547799639;3237.026;497.155;57.8499059649405;2876.037;60.626;42.8689011315277;259.897;1.387;71.1651045421774;9.8706
Blé tendre;4251.908;68.376505324198;29073.061;193.99;75.6667353987319;1467.859;553.265;59.6179678815757;3298.4535;341.11;59.673536395884;2035.524;422.68;76.3077268855872;3225.375;761.5;87.7017596848326;6678.489;652.758;78.4838025730822;5123.093;304.07;55.8913802742789;1699.4892;236.9;67.5390460109751;1600;358.375;51.9390247645622;1861.3648;221.33;43.3405322369313;959.256;196.81;55.4736547939637;1091.777;9.01;35.4500554938957;31.9405;0.11;40;0.44
Blé tendre d'hiver;4212.756;68.4300424710095;28827.9072;192.205;75.6675424676777;1454.368;550.475;59.6427721513239;3283.1855;335.68;59.6966158245948;2003.896;418.18;76.3862690707351;3194.321;755.9;87.6848789522423;6628.1;647.65;78.4917007643017;5083.515;301.82;55.9785037439534;1689.5432;234.3;67.5800256081946;1583.4;356.012;51.9584985899352;1849.7849;217.505;43.420427116618;944.416;194.77;55.6585716486112;1084.062;8.149;35.4345318443981;28.8756;0.11;40;0.44
Blé tendre de printemps;39.152;62.615907233347;245.1538;1.785;75.5798319327731;13.491;2.79;54.7240143369176;15.268;5.43;58.2467771639042;31.628;4.5;69.0088888888889;31.054;5.6;89.9803571428571;50.389;5.108;77.4823805794832;39.578;2.25;44.2044444444444;9.946;2.6;63.8461538461539;16.6;2.363;49.0050782903089;11.5799;3.825;38.797385620915;14.84;2.04;37.8186274509804;7.715;0.861;35.5969802555168;3.0649;0;0;0
Blé dur;250.759;51.8149298729059;1299.306;3.615;69;24.9435;78.12;63.9655017921147;499.6985;1.584;44.0454545454545;6.9768;0.95;47.0526315789474;4.47;0.7;61.6857142857143;4.318;0.615;47.8048780487805;2.94;19.82;51.7743693239152;102.6168;0.455;46.1538461538462;2.1;36.419;53.9377522721656;196.4359;84.785;41.9958719113051;356.062;7.89;53.277566539924;42.036;15.791;35.8739155214996;56.6485;0.015;40;0.06
Blé dur d'hiver;218.099;51.8535527443959;1130.9208;2.585;69;17.8365;66.06;65.0915834090221;429.995;1.584;44.0454545454545;6.9768;0.67;50;3.35;0.53;61.6415094339623;3.267;0.335;46.4776119402985;1.557;10.545;53.9273589378853;56.8664;0.435;46.4367816091954;2.02;32.067;53.8912901113294;172.8132;80.52;42.3047690014903;340.638;7.89;53.277566539924;42.036;14.863;35.998721657808;53.5049;0.015;40;0.06
Blé dur de printemps;32.66;51.5570116350275;168.3852;1.03;69;7.107;12.06;57.797263681592;69.7035;0;0;0;0.28;40;1.12;0.17;61.8235294117647;1.051;0.28;49.3928571428571;1.383;9.275;49.326576819407;45.7504;0.02;40;0.08;4.352;54.2801011029412;23.6227;4.265;36.1641266119578;15.424;0;0;0;0.928;33.875;3.1436;0;0;0
Seigle;31.591;42.2349719856921;133.4245;0.435;55;2.3925;4.735;52.9915522703273;25.0915;3.31;36.9093655589124;12.217;0.59;44;2.596;1.41;63.5957446808511;8.967;2.915;44.0566037735849;12.8425;1.78;40.0393258426966;7.127;0.735;38.0952380952381;2.8;2.965;35.791568296796;10.6122;4.385;34.0330672748005;14.9235;7.93;41.1336696090794;32.619;0.401;30.8304239401496;1.2363;0;0;0
Orge;1979.599;52.9499317791128;10481.9632;100.635;58.4884980374621;588.599;328.545;50.3687622700087;1654.8405;237.01;43.1843382135775;1023.512;130.89;60.7616319046528;795.309;170.6;69.1746776084408;1180.12;465.56;56.2538663115388;2618.955;85.8;46.8591841491842;402.0518;107;61.588785046729;659;160.24;47.6607900649026;763.7165;109.04;39.4261738811445;429.903;71.1;43.8160337552743;311.532;12.897;41.3246491432116;53.2964;0.282;40;1.128
Orge d'hiver;1180.388;55.4348222787761;6543.4599;42.595;65.6898697030168;279.806;195.73;51.2938742144791;1003.975;155.6;46.5546272493573;724.39;101.16;64.4515618821669;651.992;102.7;80.3885102239533;825.59;205.95;60.660597232338;1249.305;60.18;48.9203389830509;294.4026;70.85;62.5264643613267;443;83.68;46.4274617590822;388.505;91.39;40.1296640770325;366.745;62.7;45.144976076555;283.059;7.571;41.6884163254524;31.5623;0.282;40;1.128
Orge de printemps;799.211;49.2798935450088;3938.5033;58.04;53.2034803583735;308.793;132.815;49.0054210744268;650.8655;81.41;36.7426606068051;299.122;29.73;48.2061890346451;143.317;67.9;52.2135493372607;354.53;259.61;52.757983128539;1369.65;25.62;42.0176424668228;107.6492;36.15;59.7510373443983;216;76.56;49.0088166144201;375.2115;17.65;35.7835694050992;63.158;8.4;33.8964285714286;28.473;5.326;40.8075478783327;21.7341;0;0;0
Avoine;97.405;39.2405215338022;382.2223;2.565;50;12.825;8.59;37.2956926658906;32.037;15.7;30.1847133757962;47.39;9.03;50.0476190476191;45.193;9.25;60.0886486486487;55.582;12.598;40.5211144626131;51.0485;5.07;37.7157790927022;19.1219;6.57;48.5540334855403;31.9;10.561;33.5885806268346;35.4729;10.16;31.0462598425197;31.543;5.41;28.2726432532348;15.2955;1.779;25;4.4475;0.122;30;0.366
Avoine d'hiver;41.711;38.8105775454916;161.8828;0.655;50;3.275;5.105;38.4906953966699;19.6495;6.85;31.1751824817518;21.355;4.79;50.5407098121086;24.209;1.23;60.5447154471545;7.447;1.928;40.7857883817427;7.8635;3.07;38.5338762214984;11.8299;4.56;50.2631578947368;22.92;6.151;33.452934482198;20.5769;4.675;31.1572192513369;14.566;1.83;32.5819672131148;5.9625;0.745;25;1.8625;0.122;30;0.366
Avoine de printemps;55.694;39.5625201996625;220.3395;1.91;50;9.55;3.485;35.545193687231;12.3875;8.85;29.4180790960452;26.035;4.24;49.4905660377359;20.984;8.02;60.0187032418953;48.135;10.67;40.4732895970009;43.185;2;36.46;7.292;2.01;44.6766169154229;8.98;4.41;33.7777777777778;14.896;5.485;30.9516864175023;16.977;3.58;26.0698324022346;9.333;1.034;25;2.585;0;0;0
Maïs grain;1613.204;82.1929638161076;13259.4018;51.1;67.3905088062622;344.3655;146.1;85.8635865845311;1254.467;77.74;61.9014664265501;481.222;44.59;80.8255214173582;360.401;74.45;76.2928139691068;568;173.38;92.2975545045565;1600.255;163.12;83.8007601765571;1366.958;172.5;87.6788405797102;1512.46;455.449;81.1637373229494;3696.5943;131.706;79.3155209329871;1044.633;120.42;83.3027736256436;1003.132;2.077;96.5334617236399;20.05;0.572;120;6.864
dont maïs grain irrigué;563.337;103.372759112219;5823.37;2.6;100;26;93.45;105.125735687533;982.4;13.62;82.8928046989721;112.9;0;0;0;1.8;102.444444444444;18.44;44.45;128.557930258718;571.44;59.81;98.0083598060525;586.188;0.76;88.2894736842105;6.71;189.944;106.395779808786;2020.924;102.094;86.977589280467;887.989;52.16;111.860621165644;583.465;2.077;96.5334617236399;20.05;0.572;120;6.864
Maïs semences;75.267;32.3259728699164;243.3079;0;0;0;2.27;28.568281938326;6.485;0.66;56.5;3.729;0;0;0;0;0;0;0.92;25;2.3;9.81;30.6926605504587;30.1095;0;0;0;26.739;37.9805153521074;101.5561;21.675;25.3907727797001;55.0345;11.95;32.9464435146444;39.371;1.243;37.9951729686243;4.7228;0;0;0
Sorgho;121.875;48.553517948718;591.746;0.735;74;5.439;21.465;51.2091777311903;109.9205;8.414;43;36.1802;0.99;45;4.455;0.61;52.9508196721311;3.23;6.02;43.0531561461794;25.918;7.32;51.6448087431694;37.804;0.825;48.6666666666667;4.015;30.149;49.6438687850343;149.6713;33.03;47.979412655162;158.476;10.15;47.8103448275862;48.5275;2.125;37.4310588235294;7.9541;0.042;37;0.1554
Triticale;260.59;46.7860777466518;1219.1984;3.55;55;19.525;20.86;37.5508149568552;78.331;30.33;41.774151005605;126.701;5.84;55.0958904109589;32.176;3.8;65.6868421052632;24.961;18.35;59.9455040871935;110;24.94;45.3544506816359;113.114;22.88;59.0034965034965;135;52.041;42.5192444418824;221.2744;26.73;41.1743359521137;110.059;48.73;48.8428073055613;238.011;2.352;39.5323129251701;9.298;0.187;40;0.748
Autres céréales;199.261;33.3631719202453;664.7979;1.09;46.6330275229358;5.083;44.385;26.5005069280162;117.6225;12.345;42.3430538679627;52.2725;4.88;38;18.544;2.78;62.2338129496403;17.301;7.28;44.1263736263736;32.124;25.99;47.5931127356676;123.6945;6.235;34.6431435445068;21.6;41.558;37.9378459021127;157.6621;34.47;18.2358572671889;62.859;16.765;32.0524903071876;53.736;1.426;15.3583450210379;2.1901;0.057;19.1578947368421;0.1092
Riz;14.125;58.3290619469027;82.3898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.6;54.9115384615385;14.277;0;0;0;11.525;59.1000433839479;68.1128;0;0;0
Oléagineux;2117.74;25.2449280837119;5346.2194;70.815;32.7992656922968;232.268;330.64;26.6925054439874;882.561;191.54;24.031533883262;460.3;123.285;29.2607373159752;360.741;141.13;33.7024728973287;475.643;294.945;26.3089050500941;775.968;127.315;24.8463260417076;316.331;54.043;27.2808689376978;147.434;390.585;22.3695559225265;873.7213;306.165;19.9247627913053;610.0265;77.72;25.05289500772;194.7111;9.545;17.2828706128863;16.4965;0.012;15;0.018
Colza;1116.032;29.0303790572313;3239.8832;60.635;33.7529479673456;204.661;195.43;29.7788722304662;581.9685;91.2;28.6337719298246;261.14;120.26;29.4343921503409;353.978;136.89;33.8454233326028;463.31;233.905;27.2787028921998;638.0625;71.675;27.0922915940007;194.184;52.8;27.3844696969697;144.59;87.379;27.3972464779867;239.3944;36.75;22.0765986394558;81.1315;28.12;26.9694167852063;75.838;0.988;16.4504048582996;1.6253;0;0;0
Colza d'hiver;1113.518;29.0405381861811;3233.7162;60.565;33.7533228762487;204.427;195.285;29.7817548710859;581.593;91.2;28.6337719298246;261.14;120.2;29.4341098169717;353.798;136.7;33.8441843452816;462.65;233.67;27.2812085419609;637.48;71.405;27.131083257475;193.7295;52.02;27.4134948096886;142.605;86.713;27.4330723190294;237.8804;36.67;22.0837196618489;80.981;28.12;26.9694167852063;75.838;0.97;16.4360824742268;1.5943;0;0;0
Colza de printemps;2.514;24.5306284805092;6.167;0.07;33.4285714285714;0.234;0.145;25.8965517241379;0.3755;0;0;0;0.06;30;0.18;0.19;34.7368421052632;0.66;0.235;24.7872340425532;0.5825;0.27;16.8333333333333;0.4545;0.78;25.4487179487179;1.985;0.666;22.7327327327327;1.514;0.08;18.8125;0.1505;0;0;0;0.018;17.2222222222222;0.031;0;0;0
