;France métropolitaine;France métropolitaine;France métropolitaine;Ile-de-France;Ile-de-France;Ile-de-France;Centre-Val de Loire;Centre-Val de Loire;Centre-Val de Loire;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Normandie;Normandie;Normandie;Hauts de France;Hauts de France;Hauts de France;Grand Est;Grand Est;Grand Est;Pays-de-la-Loire;Pays-de-la-Loire;Pays-de-la-Loire;Bretagne;Bretagne;Bretagne;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Occitanie;Occitanie;Occitanie;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Corse;Corse;Corse
Cultures;Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t)
Céréales;9225.54;70.2705053579519;64828.3358;357.46;77.6341968332121;2775.112;1221.75;70.4454061796603;8606.6675;749.86;66.6250700130691;4995.9475;629.269;74.9425364986993;4715.9015;1028.96;82.3481962369772;8473.3;1336.218;73.0151876415376;9756.4208;691.265;66.2963291935799;4582.8332;575.051;76.550140770123;4402.0235;1281.305;68.1617819332634;8733.6032;752.85;54.0876934316265;4071.992;525.923;65.3406392190492;3436.4145;74.095;36.1645455158918;267.9612;1.534;66.2249022164276;10.1589
Blé tendre;4940.498;71.0743532332166;35114.27;224.93;77.7089316676299;1747.907;649.1;71.0968186720074;4614.8945;392.745;68.3237851532165;2683.3825;470.999;76.6803645018355;3611.6375;808;83.7293316831683;6765.33;682.235;74.2693719905898;5066.9165;391.99;62.9626521084722;2468.073;300.55;76.6195308600898;2302.8;517.52;60.6176456948524;3137.0844;269.305;49.9206847254971;1344.389;224.85;59.8995774961085;1346.842;8.201;30.2692354590904;24.8238;0.073;26;0.1898
Blé tendre d'hiver;4925.297;71.0881207772851;35013.0108;224.35;77.7088032092712;1743.397;648.2;71.1082227707498;4609.235;389.325;68.3258588582804;2660.0965;470.3;76.6963640229641;3607.03;805.9;83.7285022955702;6747.68;678.75;74.2827255985267;5041.94;391.26;62.9795787967081;2464.139;299.82;76.6348142218665;2297.665;516.71;60.6287666195738;3132.749;268.7;49.922218087086;1341.41;223.9;59.9930772666369;1343.245;8.009;30.2590835310276;24.2345;0.073;26;0.1898
Blé tendre de printemps;15.201;66.6135122689297;101.2592;0.58;77.7586206896552;4.51;0.9;62.8833333333333;5.6595;3.42;68.0877192982456;23.286;0.699;65.9155937052933;4.6075;2.1;84.047619047619;17.65;3.485;71.6685796269728;24.9765;0.73;53.8904109589041;3.934;0.73;70.3424657534247;5.135;0.81;53.5234567901235;4.3354;0.605;49.2396694214876;2.979;0.95;37.8631578947368;3.597;0.192;30.6927083333333;0.5893;0;0;0
Blé dur;358.58;51.2238579954264;1836.7851;3.11;68.983922829582;21.454;82.45;67.545785324439;556.915;1.39;64.8992805755396;9.021;0.65;54.2307692307692;3.525;0.47;61.2340425531915;2.878;0.4;47.9375;1.9175;30.96;67.0730297157623;207.6581;0;0;0;53.87;54.1697605346204;291.8125;138.1;41.091491672701;567.4735;12.64;57.2428797468354;72.355;34.53;29.4643788010426;101.7405;0.01;35;0.035
Blé dur d'hiver;350.114;51.1736662915508;1791.6617;2.85;68.9754385964912;19.658;79.2;67.8857323232323;537.655;1.32;64.7878787878788;8.552;0.6;54.5833333333333;3.275;0.47;61.2340425531915;2.878;0.355;46.9577464788732;1.667;29.58;67.7434415145369;200.3851;0;0;0;51.736;54.1463197773311;280.1314;137.875;41.0836264732548;566.4405;12.64;57.2428797468354;72.355;33.478;29.4610490471354;98.6297;0.01;35;0.035
Blé dur de printemps;8.466;53.2995511457595;45.1234;0.26;69.0769230769231;1.796;3.25;59.2615384615385;19.26;0.07;67;0.469;0.05;50;0.25;0;0;0;0.045;55.6666666666667;0.2505;1.38;52.7028985507246;7.273;0;0;0;2.134;54.7380506091846;11.6811;0.225;45.9111111111111;1.033;0;0;0;1.052;29.5703422053232;3.1108;0;0;0
Seigle;24.188;45.1408136265917;109.1866;0.29;63.551724137931;1.843;3.3;54.2878787878788;17.915;2.115;49.3002364066194;10.427;0.3;48.8333333333333;1.465;0.71;63.4788732394366;4.507;1.535;45.1107491856677;6.9245;1.14;56.8289473684211;6.4785;0.44;45.1136363636364;1.985;2.795;42.2146690518784;11.799;3.72;34.2352150537634;12.7355;7.415;42.8691840863115;31.7875;0.428;30.8317757009346;1.3196;0;0;0
Orge;1831.298;64.263410433474;11768.5455;87.53;71.9424197418028;629.712;300.35;66.4789412352256;1996.695;225.54;64.2055954597854;1448.093;115.55;69.6019039376893;804.25;160.4;72.8453865336658;1168.44;428.64;65.4724010824935;2806.409;73.515;59.1459566074951;434.8115;106.35;66.7230841560884;709.6;151.173;57.2069880203475;864.8152;100.575;47.6284862043251;479.0235;70.325;54.5009598293637;383.278;11.055;38.39421076436;42.4448;0.295;33;0.9735
