;France métropolitaine;France métropolitaine;France métropolitaine;Ile-de-France;Ile-de-France;Ile-de-France;Centre-Val de Loire;Centre-Val de Loire;Centre-Val de Loire;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Bourgogne-Franche-Comté;Normandie;Normandie;Normandie;Hauts de France;Hauts de France;Hauts de France;Grand Est;Grand Est;Grand Est;Pays-de-la-Loire;Pays-de-la-Loire;Pays-de-la-Loire;Bretagne;Bretagne;Bretagne;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Nouvelle-Aquitaine;Occitanie;Occitanie;Occitanie;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;Corse;Corse;Corse
Cultures;Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t);Superficie(1000 ha);Rendement(q/ha);Production(1000 t)
Céréales;9205.651;71.6993838893088;66003.9505;364.045;81.3822879039679;2962.6815;1209.13;71.8281739763301;8684.96;731.46;;4697.2505;652.3;75.7709489498697;4942.539;1061.82;82.1096607711288;8718.568;1391.21;74.1269182941468;10312.611;698.845;74.1462827951835;5181.6759;547.2;74.0242324561404;4050.606;1238.399;69.8627146824247;8651.7916;723.92;54.8743037904741;3972.4606;518.081;67.447638496683;3494.334;67.963;47.9298883215868;325.7459;1.278;68.2824726134585;8.7265
Blé tendre;4944.067;71.2826929732142;35242.641;220.895;82.2697435433124;1817.2975;639.38;71.8621086052113;4594.7195;381.75;63.9483955468238;2441.23;471.85;77.2422379993642;3644.675;827.83;82.9344189024317;6865.56;745.83;74.1529034766636;5530.546;370.34;70.9214505589458;2626.505;272.21;72.3698615039859;1969.98;505.129;60.2758067741112;3044.7058;275.7;47.5491258614436;1310.9294;222.215;60.7784127984159;1350.5875;10.853;42.0232193863448;45.6078;0.085;35;0.2975
Blé tendre d'hiver;4927.539;71.2963942040844;35131.5763;219.88;82.2694196834637;1808.94;638.25;71.875652173913;4587.4635;381.75;63.9483955468238;2441.23;470.23;77.271739361589;3633.549;826.2;82.9342774146696;6852.03;740.8;74.1583423326134;5493.65;369.85;70.9409760713803;2623.752;270.8;72.3740768094535;1959.89;503.239;60.2859754510282;3033.8254;274.68;47.5512742099898;1306.1384;221.365;60.8520317123303;1347.051;10.41;42.036023054755;43.7595;0.085;35;0.2975
Blé tendre de printemps;16.528;67.1979065827686;111.0647;1.015;82.3399014778325;8.3575;1.13;64.212389380531;7.256;0;;0;1.62;68.679012345679;11.126;1.63;83.0061349693251;13.53;5.03;73.351888667992;36.896;0.49;56.1836734693878;2.753;1.41;71.5602836879433;10.09;1.89;57.568253968254;10.8804;1.02;46.9705882352941;4.791;0.85;41.6058823529412;3.5365;0.443;41.7223476297968;1.8483;0;0;0
Blé dur;286.617;54.1403824616126;1551.7554;4.52;68.1360619469027;30.7975;84.75;64.4180530973451;545.943;1.765;47.1331444759207;8.319;1.84;51.5163043478261;9.479;0.94;61.0957446808511;5.743;1.81;53.1546961325967;9.621;21.06;62.2742165242165;131.1495;0.565;43.0088495575221;2.43;42.789;51.5128187150903;220.4182;92.195;43.5868756440154;401.8492;10.1;61.2460396039604;61.8585;24.268;51.1352398219878;124.095;0.015;35;0.0525
Blé dur d'hiver;278.804;54.1560881479462;1509.8934;4.21;68.1983372921615;28.7115;82.35;64.6310868245294;532.237;1.765;47.1331444759207;8.319;1.77;51.9152542372881;9.189;0.73;61.7808219178082;4.51;1.47;53.7959183673469;7.908;19.535;63.0020476068595;123.0745;0.5;43.4;2.17;40.952;51.5319642508302;211.0337;91.765;43.5892987522476;399.9972;10.1;61.2460396039604;61.8585;23.642;51.1092547161831;120.8325;0.015;35;0.0525
Blé dur de printemps;7.813;53.5799308844234;41.862;0.31;67.2903225806452;2.086;2.4;57.1083333333333;13.706;0;;0;0.07;41.4285714285714;0.29;0.21;58.7142857142857;1.233;0.34;50.3823529411765;1.713;1.525;52.9508196721312;8.075;0.065;40;0.26;1.837;51.0860097985847;9.3845;0.43;43.0697674418605;1.852;0;;0;0.626;52.1166134185303;3.2625;0;0;0
Orge;1722.577;66.1570373922327;11396.0591;84.155;75.3448398787951;634.0645;277.87;70.2265447871307;1951.385;202.16;62.5858725761773;1265.236;119.6;74.1559364548495;886.905;149.9;75.8905937291528;1137.6;427.05;66.7595129375951;2850.965;70.44;68.0887847813742;479.6174;85.9;65.7392316647264;564.7;131.845;56.1499260495279;740.3087;99.03;47.4164899525396;469.5655;63.035;57.5703180772587;362.8945;11.267;45.8684654300169;51.68;0.325;35;1.1375
Orge d'hiver;1185.817;68.5514164495871;8128.9435;44.245;80.0127698044977;354.0165;201.005;72.8610731076341;1464.544;146.2;65.4124487004104;956.33;105.21;76.4542343883661;804.375;103.3;80.6427879961278;833.04;203.95;70.6602108359892;1441.115;57.56;69.9757470465601;402.7804;69.2;68.9884393063584;477.4;97.516;58.7874400098445;573.2716;90.04;48.2808751665926;434.721;58.92;59.0315682281059;347.814;8.346;46.0082674335011;38.3985;0.325;35;1.1375
